date,month,time,desc,type,year,event,dejeuner,entretien,deplacement,voyage
2022-09-10,09,Après-midi,"Entretien téléphonique avec Mme Liz TRUSS, Première ministre du Royaume-Uni.",Entretien,2022,True,False,True,False,False
2022-09-11,09,13h30,"Entretien téléphonique avec M. Vladimir POUTINE, Président de la Fédération de Russie.",Entretien,2022,True,False,True,False,False
2022-09-12,09,19h30,"Entretien avec M. Kyriákos MITSOTAKIS, Premier ministre de la République hellénique.",Entretien,2022,True,False,True,False,False
2022-09-13,09,01h00,"Entretien téléphonique avec le Premier ministre d’Arménie, Nikol PACHINIAN.",Entretien,2022,True,False,True,False,False
2022-09-13,09,10h00,"Entretien par conférence téléphonique avec la Première ministre de la République d’Estonie, Kaja KALLAS, et le Président de la République de Lituanie, Gitanas NAUSEDA.",Entretien,2022,True,False,True,False,False
2022-09-13,09,10h30,"Entretien téléphonique avec le Président de la République d’Angola, João LOURENCO.",Entretien,2022,True,False,True,False,False
2022-09-13,09,Après-midi,Déplacement aux Sables d’Olonne sur le thème de l'enseignement professionnel.,Déplacement,2022,True,False,False,True,False
2022-09-13,09,17h30,"Entretien téléphonique avec le Président de la République d'Azerbaïdjan, Ilham ALIEV.",Entretien,2022,True,False,True,False,False
2022-09-14,09,10h00,Conseil des ministres.,Conseil des ministres,2022,True,False,False,False,False
2022-09-14,09,19h00,Présentation par les élèves lauréats du concours du Mobilier National de la nouvelle table du Conseil des ministres.,Discours,2022,True,False,False,False,False
2022-09-14,09,21h00,Entretien téléphonique avec Sa Majesté le Roi Charles III.,Entretien,2022,True,False,True,False,False
2022-09-15,09,16h00,Réception avec les préfets.,Discours,2022,True,False,False,False,False
2022-09-16,09,00h00,Entretien avec le Premier ministre d’Arménie M. Nikol PACHINIAN.,Entretien,2022,True,False,True,False,False
2022-09-16,09,09h30,"Entretien téléphonique avec le Président des Philippines, M. Ferdinand MARCOS Jr.",Entretien,2022,True,False,True,False,False
2022-09-16,09,Après-midi,Déplacement dans la Creuse à l’occasion des Journées européennes du patrimoine et de la cinquième édition du Loto du Patrimoine.,Déplacement,2022,True,False,False,True,False
2022-09-19,09,11h00,Funérailles de Sa Majesté la Reine Elizabeth II à Londres.,Cérémonie officielle,2022,True,False,False,False,False
2022-09-20,09,Toute la journée,77ème session de l'Assemblée générale des Nations unies à New-York.,Sommet,2022,True,False,False,False,False
2022-09-20,09,15h15,"Entretien avec le Président de la République islamique d’Iran, M. Ebrahim RAÏSSI, .",Entretien,2022,True,False,True,False,False
2022-09-20,09,16h15,"Entretien avec le Premier ministre de la République islamique du Pakistan, M. Shehbaz SHARIF.",Entretien,2022,True,False,True,False,False
2022-09-20,09,17h15,"Entretien avec la Première ministre du Royaume-Uni, Mme Liz TRUSS.",Entretien,2022,True,False,True,False,False
2022-09-20,09,20h00,Intervention devant l’Assemblée  générale des Nations unies.,Discours,2022,True,False,False,False,False
2022-09-20,09,22h00,Participation au 3ème sommet de l’Appel de Christchurch.,Sommet,2022,True,False,False,False,False
2022-09-21,09,Toute la journée,77ème session de l'Assemblée générale des Nations unies à New-York.,Sommet,2022,True,False,False,False,False
